client,dim,rollup,item,share_model,share_spend,roas_index,proxy_ratio,csl_dev,vertical,tipo
bradesco_eletromidia,Ambiente,grupo,relogios-de-rua,0.19901395465672217,0.11363576138608554,1.7513320826932128,1.0016010164559561,0.2392440843453385,ruas,outdoor
bradesco_eletromidia,Ambiente,grupo,__outros__ambiente,0.18792652963285184,0.08121480890313,2.313944121410217,1.0016010164559561,0.2392440843453385,,
bradesco_eletromidia,Ambiente,grupo,mobiliarios-urbanos,0.18422844863065607,0.42859328460510626,0.4298444591832533,1.0016010164559561,0.2392440843453385,ruas,outdoor
bradesco_eletromidia,Ambiente,grupo,cptm,0.18051195720689714,0.1471087515285102,1.2270647077846575,1.0016010164559561,0.2392440843453385,transportes,indoor
bradesco_eletromidia,Ambiente,grupo,edificios-comerciais,0.17176746564685214,0.08068134523888579,2.1289613495941784,1.0016010164559561,0.2392440843453385,edificios,indoor
bradesco_eletromidia,Ambiente,grupo,edificios-residenciais,0.0727523758063506,0.12567503617257875,0.5788928177147767,1.0016010164559561,0.2392440843453385,edificios,indoor
bradesco_eletromidia,Ambiente,grupo,bancas-de-jornal,0.0037992684196701105,0.02309101216570341,0.16453451206063124,1.0016010164559561,0.2392440843453385,ruas,outdoor
bradesco_eletromidia,Ambiente,vertical,ruas,0.38704167170704834,0.5653200581568953,0.6846416753173673,1.0016010164559561,0.2392440843453385,,
bradesco_eletromidia,Ambiente,vertical,edificios,0.24451984145320274,0.2063563814114645,1.184939568045837,1.0016010164559561,0.2392440843453385,,
bradesco_eletromidia,Ambiente,vertical,__outros__ambiente,0.18792652963285184,0.08121480890313,2.313944121410217,1.0016010164559561,0.2392440843453385,,
bradesco_eletromidia,Ambiente,vertical,transportes,0.18051195720689714,0.1471087515285102,1.2270647077846575,1.0016010164559561,0.2392440843453385,,
bradesco_eletromidia,Ambiente,tipo,indoor,0.4250317986600999,0.3534651329399748,1.2024716416152947,1.0016010164559561,0.2392440843453385,,
bradesco_eletromidia,Ambiente,tipo,outdoor,0.38704167170704834,0.5653200581568953,0.6846416753173673,1.0016010164559561,0.2392440843453385,,
bradesco_eletromidia,Ambiente,tipo,__outros__ambiente,0.18792652963285184,0.08121480890313,2.313944121410217,1.0016010164559561,0.2392440843453385,,
bradesco_eletromidia,Praca,estado,sao-paulo,0.6137482428375993,0.6236459701917088,0.9841292530903922,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Praca,estado,pernambuco,0.16316078014075963,0.058567624257431096,2.7858528019438604,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Praca,estado,rio-de-janeiro,0.11897345690419375,0.09580076094037712,1.2418842578738853,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Praca,estado,bahia,0.07968624060505385,0.09824964170330461,0.8110588417786934,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Praca,estado,rio-grande-do-sul,0.014366198306525642,0.08160003047437239,0.17605628604559828,1.0172396782017632,0.10459315588332854,,
bradesco_eletromidia,Praca,estado,__outros__praca,0.010065081205867856,0.04213597243280611,0.23887145886851333,1.0172396782017632,0.10459315588332854,,
