dim,item,contrib_share,spend_share,proxy_ratio,csl_max_dev
Ambiente,$metric:investments$vehicle:eletromidia$category:brand:opella---dorflex$category:ambiente:abrigos-sao-paulo,0.43759874501233037,0.37339042150953267,0.9095698050756456,0.0642083235027977
Ambiente,$metric:investments$vehicle:eletromidia$category:brand:opella---dorflex$category:ambiente:bancas-de-jornal,0.05515666763481599,0.09933136451432409,0.9095698050756456,0.0642083235027977
Ambiente,$metric:investments$vehicle:eletromidia$category:brand:opella---dorflex$category:ambiente:edificios-comerciais,0.056963290574653526,0.09185846230260214,0.9095698050756456,0.0642083235027977
Ambiente,$metric:investments$vehicle:eletromidia$category:brand:opella---dorflex$category:ambiente:edificios-residenciais,0.05842768610579408,0.09700010469040599,0.9095698050756456,0.0642083235027977
Ambiente,__outros__ambiente,0.3918536106724059,0.3384196469831349,0.9095698050756456,0.0642083235027977
Praca,$metric:investments$vehicle:eletromidia$category:brand:opella---dorflex$category:praca:recife,0.03665518076747088,0.052016880223221956,0.8004730593921963,0.16867368426151597
Praca,$metric:investments$vehicle:eletromidia$category:brand:opella---dorflex$category:praca:rio-de-janeiro,0.35199422065557656,0.1833205363940606,0.8004730593921963,0.16867368426151597
Praca,$metric:investments$vehicle:eletromidia$category:brand:opella---dorflex$category:praca:sao-paulo,0.4932321323038849,0.5955633077079708,0.8004730593921963,0.16867368426151597
Praca,__outros__praca,0.11811846627306757,0.16909927567474672,0.8004730593921963,0.16867368426151597
